Cidade,Transportadora,Prazo
PROMISSAO,RODONAVES,4
SABINO,RODONAVES,9
ASSAI,RODONAVES,6
CONGONHINHAS,RODONAVES,9
CORNELIO PROCOPIO,RODONAVES,5
LEOPOLIS,RODONAVES,6
NOVA AMERICA DA COLINA,RODONAVES,6
NOVA FATIMA,RODONAVES,6
NOVA SANTA BARBARA,RODONAVES,9
RANCHO ALEGRE,RODONAVES,6
SANTA CECILIA DO PAVAO,RODONAVES,7
SANTA MARIANA,RODONAVES,6
SANTO ANTONIO DO PARAISO,RODONAVES,7
SAO JERONIMO DA SERRA,RODONAVES,7
SAO SEBASTIAO DA AMOREIRA,RODONAVES,5
SERTANEJA,RODONAVES,6
URAI,RODONAVES,6
BELA VISTA DO PARAISO,RODONAVES,7
CAMBE,RODONAVES,5
FLORESTOPOLIS,RODONAVES,7
IBIPORA,RODONAVES,5
JAGUAPITA,RODONAVES,7
JATAIZINHO,RODONAVES,6
LONDRINA,RODONAVES,5
PORECATU,RODONAVES,7
PRADO FERREIRA,RODONAVES,7
ROLANDIA,RODONAVES,5
SAO MARTINHO,RODONAVES,7
SERTANOPOLIS,RODONAVES,5
WARTA,RODONAVES,7
ALVORADA DO SUL,RODONAVES,7
ARAPUA,RODONAVES,6
ARIRANHA DO IVAI,RODONAVES,6
BORRAZOPOLIS,RODONAVES,5
CANDIDO DE ABREU,RODONAVES,6
CRUZMALTINA,RODONAVES,5
FAXINAL,RODONAVES,5
GRANDES RIOS,RODONAVES,9
GUARAVERA,RODONAVES,9
IRERE,RODONAVES,7
IVAIPORA,RODONAVES,5
JARDIM ALEGRE,RODONAVES,5
KALORE,RODONAVES,6
LAGOA,RODONAVES,7
LERROVILLE,RODONAVES,9
LIDIANOPOLIS,RODONAVES,5
LUNARDELLI,RODONAVES,5
MANOEL RIBAS,RODONAVES,6
MARUMBI,RODONAVES,6
MAUA DA SERRA,RODONAVES,5
MIRASELVA,RODONAVES,7
PAIQUERE,RODONAVES,9
PRIMEIRO DE MAIO,RODONAVES,7
RIO BRANCO DO IVAI,RODONAVES,9
ROSARIO DO IVAI,RODONAVES,9
TAMARANA,RODONAVES,9
MACHADO,RODONAVES,5
POCO FUNDO,RODONAVES,5
SERRANIA,RODONAVES,6
ANTONIO OLINTO,RODONAVES,9
BELA VISTA DO TOLDO,RODONAVES,9
CAMPO ALEGRE,RODONAVES,8
CAMPO DO TENENTE,RODONAVES,9
CANOINHAS,RODONAVES,5
ITAIOPOLIS,RODONAVES,7
MAFRA,RODONAVES,5
MAJOR VIEIRA,RODONAVES,9
MONTE CASTELO,RODONAVES,9
PAPANDUVA,RODONAVES,7
PIEN,RODONAVES,8
RIO NEGRINHO,RODONAVES,5
RIO NEGRO,RODONAVES,7
SAO BENTO DO SUL,RODONAVES,5
SAO JOAO DO TRIUNFO,RODONAVES,9
SAO MATEUS DO SUL,RODONAVES,9
TRES BARRAS,RODONAVES,6
ALVARO DE CARVALHO,RODONAVES,9
FERNAO,RODONAVES,9
GALIA,RODONAVES,9
GARCA,RODONAVES,5
JULIO MESQUITA,RODONAVES,9
LUTECIA,RODONAVES,9
MARILIA,RODONAVES,4
ORIENTE,RODONAVES,6
OSCAR BRESSANE,RODONAVES,9
PAULOPOLIS,RODONAVES,6
POMPEIA,RODONAVES,5
QUINTANA,RODONAVES,7
VERA CRUZ,RODONAVES,6
ALTO ALEGRE,RODONAVES,6
ANGULO,RODONAVES,6
ASTORGA,RODONAVES,6
ATALAIA,RODONAVES,7
BOM SUCESSO,RODONAVES,7
CAFEARA,RODONAVES,7
CENTENARIO DO SUL,RODONAVES,7
COLORADO,RODONAVES,6
DOUTOR CAMARGO,RODONAVES,7
FLORESTA,RODONAVES,7
FLORIDA,RODONAVES,6
GODOY MOREIRA,RODONAVES,7
GUARACI,RODONAVES,7
IGUARACU,RODONAVES,6
ITAGUAJE,RODONAVES,7
ITAMBE,RODONAVES,7
IVATUBA,RODONAVES,7
JANDAIA DO SUL,RODONAVES,5
LOBATO,RODONAVES,6
LUPIONOPOLIS,RODONAVES,7
MANDAGUACU,RODONAVES,6
MANDAGUARI,RODONAVES,5
MARIALVA,RODONAVES,5
MARINGA,RODONAVES,5
MUNHOZ DE MELO,RODONAVES,6
NOSSA SENHORA DAS GRACAS,RODONAVES,7
OURIZONA,RODONAVES,7
PAICANDU,RODONAVES,5
PARANACITY,RODONAVES,5
PITANGUEIRAS,RODONAVES,7
SANTA FE,RODONAVES,6
SANTA INES,RODONAVES,7
SANTO INACIO,RODONAVES,7
SAO JOAO DO IVAI,RODONAVES,7
SAO JORGE DO IVAI,RODONAVES,7
SAO PEDRO DO IVAI,RODONAVES,7
SARANDI,RODONAVES,5
DOBRADA,RODONAVES,6
MATAO,RODONAVES,4
MOTUCA,RODONAVES,9
SANTA ERNESTINA,RODONAVES,6
SAO LOURENCO DO TURVO,RODONAVES,7
ARCEBURGO,RODONAVES,7
CAMPESTRINHO,RODONAVES,9
CASA BRANCA,RODONAVES,4
DIVINOLANDIA,RODONAVES,4
IGARAI,RODONAVES,9
ITOBI,RODONAVES,7
LAGOA BRANCA,RODONAVES,9
MOCOCA,RODONAVES,4
SAO BENEDITO DAS AREIAS,RODONAVES,9
SAO JOSE DO RIO PARDO,RODONAVES,4
SAO SEBASTIAO DA GRAMA,RODONAVES,6
VARGEM GRANDE DO SUL,RODONAVES,4
VENDA BRANCA,RODONAVES,9
MINEIROS,RODONAVES,5
PEROLANDIA,RODONAVES,7
PORTELANDIA,RODONAVES,7
SANTA RITA DO ARAGUAIA,RODONAVES,7
ARTUR NOGUEIRA,RODONAVES,4
CONCHAL,RODONAVES,4
ENGENHEIRO COELHO,RODONAVES,5
ESTIVA GERBI,RODONAVES,4
HOLAMBRA,RODONAVES,4
ITAPIRA,RODONAVES,4
JACUTINGA,RODONAVES,7
MOGI GUACU,RODONAVES,4
MOGI MIRIM,RODONAVES,4
SANTO ANTONIO DE POSSE,RODONAVES,5
ANTONIO PRADO DE MINAS,RODONAVES,15
BARAO DE MONTE ALTO,RODONAVES,7
CATAGUASES,RODONAVES,6
EUGENOPOLIS,RODONAVES,7
ITAMARATI DE MINAS,RODONAVES,15
LARANJAL,RODONAVES,7
LEOPOLDINA,RODONAVES,7
MIRADOURO,RODONAVES,9
MIRAI,RODONAVES,6
MURIAE,RODONAVES,7
PALMA,RODONAVES,15
PATROCINIO DO MURIAE,RODONAVES,7
RECREIO,RODONAVES,7
ROSARIO DA LIMEIRA,RODONAVES,15
SANTANA DE CATAGUASES,RODONAVES,15
VIEIRAS,RODONAVES,15
ABRE CAMPO,RODONAVES,16
ALTO CAPARAO,RODONAVES,16
ALTO JEQUITIBA,RODONAVES,16
CAIANA,RODONAVES,16
CAPARAO,RODONAVES,16
CAPUTIRA,RODONAVES,17
CARANGOLA,RODONAVES,7
DIVINO,RODONAVES,7
DURANDE,RODONAVES,16
ESPERA FELIZ,RODONAVES,7
FARIA LEMOS,RODONAVES,17
FERVEDOURO,RODONAVES,16
MANHUACU,RODONAVES,5
MANHUMIRIM,RODONAVES,7
MARTINS SOARES,RODONAVES,16
MATIPO,RODONAVES,17
ORIZANIA,RODONAVES,16
PEDRA BONITA,RODONAVES,19
PEDRA DOURADA,RODONAVES,19
PIEDADE DE PONTE NOVA,RODONAVES,17
RAUL SOARES,RODONAVES,17
REDUTO,RODONAVES,16
RIO CASCA,RODONAVES,17
SANTA MARGARIDA,RODONAVES,17
SANTANA DO MANHUACU,RODONAVES,7
SANTO ANTONIO DO GRAMA,RODONAVES,17
SAO FRANCISCO DO GLORIA,RODONAVES,17
SAO JOAO DO MANHUACU,RODONAVES,17
SAO PEDRO DO AVAI,RODONAVES,7
SAO PEDRO DOS FERROS,RODONAVES,15
SERICITA,RODONAVES,17
SIMONESIA,RODONAVES,17
TOMBOS,RODONAVES,16
URUCANIA,RODONAVES,17
ARAUJOS,RODONAVES,5
BOA VISTA DE MINAS,RODONAVES,5
BOM DESPACHO,RODONAVES,5
CONCEICAO DO PARA,RODONAVES,7
NOVA SERRANA,RODONAVES,5
PERDIGAO,RODONAVES,5
PITANGUI,RODONAVES,7
ANDRE DA ROCHA,RODONAVES,9
CASCA,RODONAVES,6
COTIPORA,RODONAVES,10
EVANGELISTA,RODONAVES,10
FAGUNDES VARELA,RODONAVES,9
GUAPORE,RODONAVES,5
MONTAURI,RODONAVES,10
NOVA ARACA,RODONAVES,5
NOVA BASSANO,RODONAVES,5
NOVA PRATA,RODONAVES,5
PARAI,RODONAVES,6
PROTASIO ALVES,RODONAVES,9
SANTO ANTONIO DO PALMA,RODONAVES,10
SERAFINA CORREA,RODONAVES,6
UNIAO DA SERRA,RODONAVES,10
VERANOPOLIS,RODONAVES,5
VILA FLORES,RODONAVES,5
VISTA ALEGRE DO PRATA,RODONAVES,9
ARARICA,RODONAVES,7
BROCHIER,RODONAVES,10
CAMPO BOM,RODONAVES,6
CANELA,RODONAVES,6
CAPELA DE SANTANA,RODONAVES,8
DOIS IRMAOS,RODONAVES,8
ESTANCIA VELHA,RODONAVES,6
GRAMADO,RODONAVES,6
IGREJINHA,RODONAVES,6
IVOTI,RODONAVES,8
LINDOLFO COLLOR,RODONAVES,10
LINHA NOVA,RODONAVES,10
MARATA,RODONAVES,10
MONTENEGRO,RODONAVES,8
MORRO REUTER,RODONAVES,10
NOVA HARTZ,RODONAVES,6
NOVO HAMBURGO,RODONAVES,6
PARECI NOVO,RODONAVES,8
PAROBE,RODONAVES,6
PICADA CAFE,RODONAVES,10
PORTAO,RODONAVES,6
PRESIDENTE LUCENA,RODONAVES,10
RIOZINHO,RODONAVES,10
ROLANTE,RODONAVES,6
SANTA MARIA DO HERVAL,RODONAVES,10
SAO FRANCISCO DE PAULA,RODONAVES,10
SAO JOSE DO HORTENCIO,RODONAVES,10
SAO JOSE DO SUL,RODONAVES,10
SAO LEOPOLDO,RODONAVES,6
SAPIRANGA,RODONAVES,6
TAQUARA,RODONAVES,6
TRES COROAS,RODONAVES,6
SANTANA DO LIVRAMENTO,RODONAVES,8
ROSARIO DO SUL,RODONAVES,8
SANTA MARGARIDA DO SUL,RODONAVES,10
SAO GABRIEL,RODONAVES,7
VILA NOVA DO SUL,RODONAVES,11
CACEQUI,RODONAVES,8
CAPAO DO CIPO,RODONAVES,10
ITACURUBI,RODONAVES,10
JAGUARI,RODONAVES,8
MACAMBARA,RODONAVES,10
NOVA ESPERANCA DO SUL,RODONAVES,8
SANTIAGO,RODONAVES,7
SAO BORJA,RODONAVES,7
SAO FRANCISCO DE ASSIS,RODONAVES,10
SAO VICENTE DO SUL,RODONAVES,8
UNISTALDA,RODONAVES,10
ARROIO DO SAL,RODONAVES,7
BALNEARIO PINHAL,RODONAVES,7
CAPAO DA CANOA,RODONAVES,6
CAPIVARI DO SUL,RODONAVES,7
CARAA,RODONAVES,8
CIDREIRA,RODONAVES,8
DOM PEDRO DE ALCANTARA,RODONAVES,8
GLORINHA,RODONAVES,6
IMBE,RODONAVES,6
ITATI,RODONAVES,8
MAQUINE,RODONAVES,7
MORRINHOS DO SUL,RODONAVES,8
MOSTARDAS,RODONAVES,10
OSORIO,RODONAVES,6
PALMARES DO SUL,RODONAVES,8
SANTO ANTONIO DA PATRULHA,RODONAVES,6
TAVARES,RODONAVES,10
TERRA DE AREIA,RODONAVES,7
TORRES,RODONAVES,6
TRAMANDAI,RODONAVES,6
TRES CACHOEIRAS,RODONAVES,7
TRES FORQUILHAS,RODONAVES,8
XANGRI - LA,RODONAVES,6
CEU AZUL,RODONAVES,7
DIAMANTE D'OESTE,RODONAVES,9
ITAIPULANDIA,RODONAVES,6
MATELANDIA,RODONAVES,7
MEDIANEIRA,RODONAVES,6
MISSAL,RODONAVES,6
RAMILANDIA,RODONAVES,10
SANTA HELENA,RODONAVES,6
SAO MIGUEL DO IGUACU,RODONAVES,6
SERRANOPOLIS DO IGUACU,RODONAVES,10
VERA CRUZ DO OESTE,RODONAVES,8
ANCHIETA,RODONAVES,9
BANDEIRANTE,RODONAVES,10
BARRA BONITA,RODONAVES,10
BELMONTE,RODONAVES,10
CUNHA PORA,RODONAVES,7
DESCANSO,RODONAVES,9
FLOR DO SERTAO,RODONAVES,10
GUARACIABA,RODONAVES,8
GUARUJA DO SUL,RODONAVES,8
IPORA DO OESTE,RODONAVES,8
IRACEMINHA,RODONAVES,10
ITAPIRANGA,RODONAVES,8
MARAVILHA,RODONAVES,7
PARAISO,RODONAVES,10
PRINCESA,RODONAVES,10
ROMELANDIA,RODONAVES,10
SANTA HELENA,RODONAVES,10
SANTA TEREZINHA DO PROGRESSO,RODONAVES,10
SAO JOAO DO OESTE,RODONAVES,10
SAO JOSE DO CEDRO,RODONAVES,6
SAO MIGUEL DA BOA VISTA,RODONAVES,10
SAO MIGUEL DO OESTE,RODONAVES,7
TIGRINHOS,RODONAVES,10
TUNAPOLIS,RODONAVES,10
ADAMANTINA,RODONAVES,4
ARABELA,RODONAVES,9
DRACENA,RODONAVES,6
FLORA RICA,RODONAVES,9
FLORIDA PAULISTA,RODONAVES,9
GUARACIABA D'OESTE,RODONAVES,10
INUBIA PAULISTA,RODONAVES,9
IRAPURU,RODONAVES,9
JACIPORA,RODONAVES,9
JUNQUEIROPOLIS,RODONAVES,9
LUCELIA,RODONAVES,5
MARIAPOLIS,RODONAVES,9
MONTE CASTELO,RODONAVES,9
NOVA GUATAPORANGA,RODONAVES,9
OASIS,RODONAVES,9
OSVALDO CRUZ,RODONAVES,5
OURO VERDE,RODONAVES,9
PACAEMBU,RODONAVES,9
PANORAMA,RODONAVES,6
PARAPUA,RODONAVES,5
PAULICEIA,RODONAVES,6
PRACINHA,RODONAVES,9
SAGRES,RODONAVES,9
SALMOURAO,RODONAVES,9
SANTA MERCEDES,RODONAVES,9
SAO JOAO DO PAU D'ALHO,RODONAVES,10
TERRA NOVA D'OESTE,RODONAVES,10
TUPI PAULISTA,RODONAVES,6
ALMIRANTE TAMANDARE DO SUL,RODONAVES,10
BARRA FUNDA,RODONAVES,6
CHAPADA,RODONAVES,8
CONSTANTINA,RODONAVES,8
COQUEIROS DO SUL,RODONAVES,8
ENGENHO VELHO,RODONAVES,8
GRAMADO DOS LOUREIROS,RODONAVES,10
LIBERATO SALZANO,RODONAVES,8
NONOAI,RODONAVES,8
NOVA BOA VISTA,RODONAVES,9
NOVO BARREIRO,RODONAVES,6
NOVO XINGU,RODONAVES,8
PALMEIRA DAS MISSOES,RODONAVES,7
PONTAO,RODONAVES,10
RIO DOS INDIOS,RODONAVES,10
RONDA ALTA,RODONAVES,8
RONDINHA,RODONAVES,7
SAO JOSE DAS MISSOES,RODONAVES,10
SARANDI,RODONAVES,5
TRES PALMEIRAS,RODONAVES,8
TRINDADE DO SUL,RODONAVES,8
ALVINLANDIA,RODONAVES,7
CAMPOS NOVOS PAULISTA,RODONAVES,7
CANITAR,RODONAVES,6
CHAVANTES,RODONAVES,5
ESPIRITO SANTO DO TURVO,RODONAVES,7
IBIRAREMA,RODONAVES,7
IPAUSSU,RODONAVES,6
LUPERCIO,RODONAVES,7
OCAUCU,RODONAVES,7
OURINHOS,RODONAVES,4
PAULISTANIA,RODONAVES,9
RIBEIRAO DO SUL,RODONAVES,7
SALTO GRANDE,RODONAVES,7
SANTA CRUZ DO RIO PARDO,RODONAVES,5
SAO PEDRO DO TURVO,RODONAVES,7
UBIRAJARA,RODONAVES,7
BERNARDINO DE CAMPOS,RODONAVES,5
FARTURA,RODONAVES,5
MANDURI,RODONAVES,5
OLEO,RODONAVES,9
PIRAJU,RODONAVES,5
SARUTAIA,RODONAVES,6
TAGUAI,RODONAVES,5
TEJUPA,RODONAVES,7
TIMBURI,RODONAVES,6
CRISTALINA,RODONAVES,5
JOAO PINHEIRO,RODONAVES,5
PARACATU,RODONAVES,5
UNAI,RODONAVES,5
APARECIDA DO TABOADO,RODONAVES,6
CACHOEIRA ALTA,RODONAVES,7
CACU,RODONAVES,7
CASSILANDIA,RODONAVES,6
CHAPADAO DO SUL,RODONAVES,6
COSTA RICA,RODONAVES,7
INOCENCIA,RODONAVES,7
ITAGUACU,RODONAVES,7
ITAJA,RODONAVES,7
ITARUMA,RODONAVES,7
LAGOA SANTA,RODONAVES,7
PARAISO DAS AGUAS,RODONAVES,9
PARANAIBA,RODONAVES,6
PARANAIGUARA,RODONAVES,7
SELVIRIA,RODONAVES,6
ALTO PARANA,RODONAVES,6
AMAPORA,RODONAVES,9
CRUZEIRO DO SUL,RODONAVES,9
DIAMANTE DO NORTE,RODONAVES,9
FLORAI,RODONAVES,6
GUAIRACA,RODONAVES,6
INAJA,RODONAVES,9
ITAUNA DO SUL,RODONAVES,9
JARDIM OLINDA,RODONAVES,9
LOANDA,RODONAVES,6
MANDIOCABA,RODONAVES,7
MARILENA,RODONAVES,7
MIRADOR,RODONAVES,9
NOVA ALIANCA DO IVAI,RODONAVES,7
NOVA ESPERANCA,RODONAVES,6
NOVA LONDRINA,RODONAVES,7
PARAISO DO NORTE,RODONAVES,7
PARANAPOEMA,RODONAVES,9
PARANAVAI,RODONAVES,5
PLANALTINA DO PARANA,RODONAVES,9
PORTO RICO,RODONAVES,9
PRESIDENTE CASTELO BRANCO,RODONAVES,6
QUERENCIA DO NORTE,RODONAVES,9
SANTA CRUZ DE MONTE CASTELO,RODONAVES,10
SANTA ISABEL DO IVAI,RODONAVES,6
SANTA MONICA,RODONAVES,9
SANTO ANTONIO DO CAIUA,RODONAVES,9
SAO CARLOS DO IVAI,RODONAVES,7
SAO JOAO DO CAIUA,RODONAVES,9
SAO PEDRO DO PARANA,RODONAVES,6
TAMBOARA,RODONAVES,7
TERRA RICA,RODONAVES,9
UNIFLOR,RODONAVES,9
AGUA SANTA,RODONAVES,10
CAMARGO,RODONAVES,10
CARAZINHO,RODONAVES,6
CHARRUA,RODONAVES,10
COXILHA,RODONAVES,8
ERNESTINA,RODONAVES,10
GENTIL,RODONAVES,10
MARAU,RODONAVES,6
MATO CASTELHANO,RODONAVES,10
NICOLAU VERGUEIRO,RODONAVES,10
NOVA ALVORADA,RODONAVES,8
PASSO FUNDO,RODONAVES,5
SANTA CECILIA DO SUL,RODONAVES,10
SANTO ANTONIO DO PLANALTO,RODONAVES,8
TAPEJARA,RODONAVES,6
VILA LANGARO,RODONAVES,10
VILA MARIA,RODONAVES,6
ARROIO DO PADRE,RODONAVES,10
ARROIO GRANDE,RODONAVES,10
CANGUCU,RODONAVES,10
CAPAO DO LEAO,RODONAVES,8
CERRITO,RODONAVES,10
CHUI,RODONAVES,11
HERVAL,RODONAVES,11
JAGUARAO,RODONAVES,11
MORRO REDONDO,RODONAVES,10
PEDRO OSORIO,RODONAVES,10
PELOTAS,RODONAVES,6
PIRATINI,RODONAVES,10
RIO GRANDE,RODONAVES,6
SANTA VITORIA DO PALMAR,RODONAVES,11
SAO JOSE DO NORTE,RODONAVES,10
SAO LOURENCO DO SUL,RODONAVES,10
TURUCU,RODONAVES,10
BOM SUCESSO DO SUL,RODONAVES,7
CAMPO ERE,RODONAVES,6
CHOPINZINHO,RODONAVES,5
CLEVELANDIA,RODONAVES,7
CORONEL DOMINGOS SOARES,RODONAVES,9
CORONEL VIVIDA,RODONAVES,5
HONORIO SERPA,RODONAVES,9
ITAPEJARA D'OESTE,RODONAVES,8
MANGUEIRINHA,RODONAVES,7
MARIOPOLIS,RODONAVES,7
NOVO HORIZONTE,RODONAVES,6
PALMAS,RODONAVES,7
PATO BRANCO,RODONAVES,5
SAO BERNARDINO,RODONAVES,6
SAO JOAO,RODONAVES,5
SAO LOURENCO DO OESTE,RODONAVES,6
SAUDADE DO IGUACU,RODONAVES,9
SULINA,RODONAVES,9
VERE,RODONAVES,7
VITORINO,RODONAVES,6
ITAU DE MINAS,RODONAVES,5
PASSOS,RODONAVES,4
SAO JOAO BATISTA DO GLORIA,RODONAVES,7
ABADIA DOS DOURADOS,RODONAVES,5
BREJO BONITO,RODONAVES,7
COROMANDEL,RODONAVES,5
CRUZEIRO DA FORTALEZA,RODONAVES,7
GUIMARANIA,RODONAVES,7
IRAI DE MINAS,RODONAVES,7
MONTE CARMELO,RODONAVES,5
PATROCINIO,RODONAVES,4
ROMARIA,RODONAVES,7
SALITRE DE MINAS,RODONAVES,7
SAO JOAO DA SERRA NEGRA,RODONAVES,7
SERRA DO SALITRE,RODONAVES,7
ARAPUA,RODONAVES,9
CARMO DO PARANAIBA,RODONAVES,5
LAGAMAR,RODONAVES,7
LAGOA FORMOSA,RODONAVES,5
PATOS DE MINAS,RODONAVES,5
PRESIDENTE OLEGARIO,RODONAVES,7
RIO PARANAIBA,RODONAVES,5
SAO GOTARDO,RODONAVES,5
VAZANTE,RODONAVES,7
CAPIVARI,RODONAVES,4
MOMBUCA,RODONAVES,4
PIRACICABA,RODONAVES,4
RAFARD,RODONAVES,4
RIO DAS PEDRAS,RODONAVES,4
SALTINHO,RODONAVES,4
BURITIZEIRO,RODONAVES,9
JEQUITAI,RODONAVES,17
PIRAPORA,RODONAVES,7
VARZEA DA PALMA,RODONAVES,9
ALVORADA,RODONAVES,6
ARROIO DOS RATOS,RODONAVES,7
BARRA DO RIBEIRO,RODONAVES,8
BUTIA,RODONAVES,8
CACHOEIRINHA,RODONAVES,5
CANOAS,RODONAVES,6
CHARQUEADAS,RODONAVES,6
ELDORADO DO SUL,RODONAVES,6
ESTEIO,RODONAVES,6
GENERAL CAMARA,RODONAVES,7
GRAVATAI,RODONAVES,5
GUAIBA,RODONAVES,6
MINAS DO LEAO,RODONAVES,7
NOVA SANTA RITA,RODONAVES,6
PORTO ALEGRE,RODONAVES,6
SAO JERONIMO,RODONAVES,6
SAPUCAIA DO SUL,RODONAVES,5
TRIUNFO,RODONAVES,10
VIAMAO,RODONAVES,6
CARAMBEI,RODONAVES,7
CASTRO,RODONAVES,6
FERNANDES PINHEIRO,RODONAVES,9
GUAMIRANGA,RODONAVES,9
IMBITUVA,RODONAVES,7
IPIRANGA,RODONAVES,9
IRATI,RODONAVES,6
IVAI,RODONAVES,9
PALMEIRA,RODONAVES,6
PIRAI DO SUL,RODONAVES,9
PONTA GROSSA,RODONAVES,5
PORTO AMAZONAS,RODONAVES,9
REBOUCAS,RODONAVES,9
TEIXEIRA SOARES,RODONAVES,6
BANDEIRA DO SUL,RODONAVES,6
BOTELHOS,RODONAVES,6
CABO VERDE,RODONAVES,7
CALDAS,RODONAVES,7
CAMPESTRE,RODONAVES,4
IBITIURA DE MINAS,RODONAVES,9
IPUIUNA,RODONAVES,7
POCOS DE CALDAS,RODONAVES,4
SANTA RITA DE CALDAS,RODONAVES,7
DESCALVADO,RODONAVES,4
LEME,RODONAVES,4
PIRASSUNUNGA,RODONAVES,4
PORTO FERREIRA,RODONAVES,5
SANTA CRUZ DA CONCEICAO,RODONAVES,9
SANTA CRUZ DAS PALMEIRAS,RODONAVES,4
SANTA RITA DO PASSA QUATRO,RODONAVES,5
TAMBAU,RODONAVES,4
BOM REPOUSO,RODONAVES,7
CAMANDUCAIA,RODONAVES,5
CAMBUI,RODONAVES,5
CAREACU,RODONAVES,9
CONGONHAL,RODONAVES,6
CORREGO DO BOM JESUS,RODONAVES,19
ESPIRITO SANTO DO DOURADO,RODONAVES,19
ESTIVA,RODONAVES,5
HELIODORA,RODONAVES,9
MONTE VERDE,RODONAVES,9
NATERCIA,RODONAVES,9
POUSO ALEGRE,RODONAVES,5
SAO JOAO DA MATA,RODONAVES,9
SAO SEBASTIAO DA BELA VISTA,RODONAVES,10
SENADOR AMARAL,RODONAVES,19
SENADOR JOSE BENTO,RODONAVES,19
SILVIANOPOLIS,RODONAVES,9
TURVOLANDIA,RODONAVES,19
IBIAI,RODONAVES,15
LAGOA DOS PATOS,RODONAVES,15
LASSANCE,RODONAVES,15
PONTO CHIQUE,RODONAVES,16
SANTA FE DE MINAS,RODONAVES,16
ALFREDO MARCONDES,RODONAVES,9
ALVARES MACHADO,RODONAVES,6
ANHUMAS,RODONAVES,6
CAIABU,RODONAVES,9
CAIUA,RODONAVES,6
EMILIANOPOLIS,RODONAVES,9
ESPIGAO,RODONAVES,6
ESTRELA DO NORTE,RODONAVES,9
EUCLIDES DA CUNHA PAULISTA,RODONAVES,10
INDIANA,RODONAVES,6
MARABA PAULISTA,RODONAVES,9
MARTINOPOLIS,RODONAVES,6
MIRANTE DO PARANAPANEMA,RODONAVES,9
NARANDIBA,RODONAVES,9
PIQUEROBI,RODONAVES,6
PIRAPOZINHO,RODONAVES,5
PRESIDENTE BERNARDES,RODONAVES,6
PRESIDENTE EPITACIO,RODONAVES,5
PRESIDENTE PRUDENTE,RODONAVES,5
PRESIDENTE VENCESLAU,RODONAVES,5
PRIMAVERA,RODONAVES,9
REGENTE FEIJO,RODONAVES,5
RIBEIRAO DOS INDIOS,RODONAVES,9
ROSANA,RODONAVES,9
SANDOVALINA,RODONAVES,9
SANTO ANASTACIO,RODONAVES,5
SANTO EXPEDITO,RODONAVES,5
TACIBA,RODONAVES,9
TARABAI,RODONAVES,6
TEODORO SAMPAIO,RODONAVES,9
BARRA DO TURVO,RODONAVES,9
CAJATI,RODONAVES,6
CANANEIA,RODONAVES,9
ELDORADO,RODONAVES,6
IGUAPE,RODONAVES,5
ILHA COMPRIDA,RODONAVES,6
IPORANGA,RODONAVES,9
ITARIRI,RODONAVES,7
JACUPIRANGA,RODONAVES,5
JUQUIA,RODONAVES,7
MIRACATU,RODONAVES,7
PARIQUERA-ACU,RODONAVES,7
PEDRO DE TOLEDO,RODONAVES,7
REGISTRO,RODONAVES,4
SETE BARRAS,RODONAVES,7
BONFIM PAULISTA,RODONAVES,5
RIBEIRAO PRETO,RODONAVES,4
AGUAS DE SAO PEDRO,RODONAVES,5
AJAPI,RODONAVES,4
ANALANDIA,RODONAVES,7
ASSISTENCIA,RODONAVES,4
CHARQUEADA,RODONAVES,4
CORDEIROPOLIS,RODONAVES,4
CORUMBATAI,RODONAVES,7
IPEUNA,RODONAVES,4
RIO CLARO,RODONAVES,4
SANTA GERTRUDES,RODONAVES,4
SAO PEDRO,RODONAVES,4
AGROLANDIA,RODONAVES,9
AGRONOMICA,RODONAVES,5
ATALANTA,RODONAVES,9
AURORA,RODONAVES,7
BRACO DO TROMBUDO,RODONAVES,9
CHAPADAO DO LAGEADO,RODONAVES,9
DONA EMMA,RODONAVES,9
IBIRAMA,RODONAVES,6
IMBUIA,RODONAVES,9
ITUPORANGA,RODONAVES,7
JOSE BOITEUX,RODONAVES,9
LAURENTINO,RODONAVES,7
LEOBERTO LEAL,RODONAVES,9
LONTRAS,RODONAVES,6
MIRIM DOCE,RODONAVES,9
PETROLANDIA,RODONAVES,9
POUSO REDONDO,RODONAVES,6
PRESIDENTE GETULIO,RODONAVES,6
PRESIDENTE NEREU,RODONAVES,9
RIO DO CAMPO,RODONAVES,9
RIO DO OESTE,RODONAVES,7
RIO DO SUL,RODONAVES,5
SALETE,RODONAVES,9
SANTA TEREZINHA,RODONAVES,9
TAIO,RODONAVES,6
TROMBUDO CENTRAL,RODONAVES,9
VIDAL RAMOS,RODONAVES,9
VITOR MEIRELES,RODONAVES,9
WITMARSUM,RODONAVES,9
LAGOA DO BAUZINHO,RODONAVES,5
MONTIVIDIU,RODONAVES,5
QUIRINOPOLIS,RODONAVES,5
RIO VERDE,RODONAVES,5
RIVERLANDIA,RODONAVES,6
SANTA HELENA DE GOIAS,RODONAVES,7
ALECRIM,RODONAVES,8
ALEGRIA,RODONAVES,10
BARRA DO GUARITA,RODONAVES,10
BOA VISTA DO BURICA,RODONAVES,6
BOM PROGRESSO,RODONAVES,8
BRAGA,RODONAVES,10
CAMPINA DAS MISSOES,RODONAVES,8
CAMPO NOVO,RODONAVES,8
CANDIDO GODOI,RODONAVES,8
CHIAPETTA,RODONAVES,10
