Cidade,Transportadora,Prazo
CORINTO,RODONAVES,11
CURVELO,RODONAVES,7
FELIXLANDIA,RODONAVES,11
INIMUTABA,RODONAVES,9
ALVORADA DE MINAS,RODONAVES,15
AUGUSTO DE LIMA,RODONAVES,15
BUENOPOLIS,RODONAVES,15
COUTO DE MAGALHAES DE MINAS,RODONAVES,15
DATAS,RODONAVES,15
DIAMANTINA,RODONAVES,15
FELICIO DOS SANTOS,RODONAVES,15
GOUVEIA,RODONAVES,15
JOAQUIM FELICIO,RODONAVES,15
MONJOLOS,RODONAVES,15
MORRO DA GARCA,RODONAVES,15
PRESIDENTE JUSCELINO,RODONAVES,15
PRESIDENTE KUBITSCHEK,RODONAVES,15
SANTO ANTONIO DO ITAMBE,RODONAVES,15
SANTO HIPOLITO,RODONAVES,15
SAO GONCALO DO RIO PRETO,RODONAVES,15
SENADOR MODESTINO GONCALVES,RODONAVES,15
SERRA AZUL DE MINAS,RODONAVES,15
SERRO,RODONAVES,15
TRES MARIAS,RODONAVES,15
ABELARDO LUZ,RODONAVES,9
AGUAS DE CHAPECO,RODONAVES,6
AGUAS FRIAS,RODONAVES,9
ARVOREDO,RODONAVES,9
BOM JESUS,RODONAVES,9
BOM JESUS DO OESTE,RODONAVES,7
CAIBI,RODONAVES,6
CAXAMBU DO SUL,RODONAVES,9
CHAPECO,RODONAVES,5
CORDILHEIRA ALTA,RODONAVES,5
CORONEL FREITAS,RODONAVES,9
CORONEL MARTINS,RODONAVES,9
CUNHATAI,RODONAVES,6
ENTRE RIOS,RODONAVES,9
FAXINAL DOS GUEDES,RODONAVES,9
FORMOSA DO SUL,RODONAVES,9
GALVAO,RODONAVES,9
GUATAMBU,RODONAVES,9
IPUACU,RODONAVES,9
IRATI,RODONAVES,9
JARDINOPOLIS,RODONAVES,9
JUPIA,RODONAVES,10
LAJEADO GRANDE,RODONAVES,9
MAREMA,RODONAVES,9
MODELO,RODONAVES,7
MONDAI,RODONAVES,6
NOVA ERECHIM,RODONAVES,5
